,Sold to Customer,Country,Customer region redefined,Pr CFN,recommend,Pr Division,confidence,Qty in Sales unit of measure (SUM),base average qty,base weightage qty,recommend average qty,final recommend qty,final recommend qty w probability
131,119891642322,Australia,New South Wales,OMS-PDBS2,DS100A,MITG,0.58,14.0,19.0,-0.26,42.0,31.0,0.0
132,119891642322,Australia,New South Wales,OMS-T10SB,186-0106,MITG,0.52,21.0,25.0,-0.16,137.0,115.0,115.0
133,119891642322,Australia,New South Wales,OMS-T10SB,DS100A,MITG,0.58,21.0,25.0,-0.16,42.0,35.0,35.0
134,119891642322,Australia,New South Wales,TECR1410DP2,DS100A,MITG,0.54,81.0,61.0,0.33,42.0,56.0,0.0
135,119892287314,Australia,New South Wales,MMT-1891,MMT-7910W5,Diabetes,0.52,1.0,1.0,0.0,3.0,3.0,0.0
136,119892431216,Australia,New South Wales,MMT-7020C5,MMT-7810W1,Diabetes,0.51,8.0,26.0,-0.69,2.0,1.0,0.0
137,119892886726,Australia,Victoria,350-013-000,300-000-000,MITG,0.51,1.0,13.0,-0.92,4.0,0.0,0.0
138,119892886726,Australia,Victoria,350-013-000,340-000-000,MITG,0.88,1.0,13.0,-0.92,24.0,2.0,2.0
139,119892886726,Australia,Victoria,350-013-000,350-005-000,MITG,0.91,1.0,13.0,-0.92,14.0,1.0,0.0
140,119892886726,Australia,Victoria,350-013-000,LF1937,MITG,0.52,1.0,13.0,-0.92,125.0,10.0,0.0
141,119892886726,Australia,Victoria,350-013-000,X3-003-000,MITG,0.77,1.0,13.0,-0.92,6.0,0.0,0.0
142,119892886726,Australia,Victoria,8888247031,150462,MITG,0.5,1.0,36.0,-0.97,75.0,2.0,2.0
143,119892886726,Australia,Victoria,8888247031,186-0106,MITG,0.59,1.0,36.0,-0.97,137.0,4.0,0.0
144,119892886726,Australia,Victoria,8888247031,LF1837,MITG,0.53,1.0,36.0,-0.97,108.0,3.0,0.0
145,119892886726,Australia,Victoria,8888247056,186-0106,MITG,0.61,1.0,21.0,-0.95,137.0,7.0,7.0
146,119892886726,Australia,Victoria,8888247056,LF1837,MITG,0.54,1.0,21.0,-0.95,108.0,5.0,5.0
147,119892886726,Australia,Victoria,8888247056,LF1937,MITG,0.62,1.0,21.0,-0.95,125.0,6.0,0.0
148,119893045894,Australia,Victoria,173022,DS100A,MITG,0.6,4.0,7.0,-0.43,42.0,24.0,0.0
149,119893045894,Australia,Victoria,173049,DS100A,MITG,0.63,53.0,46.0,0.15,42.0,48.0,48.0
150,119893045894,Australia,Victoria,340-000-000,X3-003-000,MITG,0.65,106.0,24.0,3.42,6.0,27.0,27.0
151,119893045894,Australia,Victoria,350-005-000,X3-003-000,MITG,0.75,8.0,14.0,-0.43,6.0,3.0,3.0
152,119893045894,Australia,Victoria,350-013-000,X3-003-000,MITG,0.77,22.0,13.0,0.69,6.0,10.0,0.0
153,119893045894,Australia,Victoria,8886803712,150462,MITG,0.53,1279.0,113.0,10.32,75.0,849.0,849.0
154,119893045894,Australia,Victoria,8888247031,150462,MITG,0.5,160.0,36.0,3.44,75.0,333.0,0.0
155,119893045894,Australia,Victoria,ABSTACK30X,DS100A,MITG,0.54,167.0,62.0,1.69,42.0,113.0,113.0
156,119893045894,Australia,Victoria,EASYCAPII6,DS100A,MITG,0.5,16.0,18.0,-0.11,42.0,37.0,37.0
157,119893045894,Australia,Victoria,EGIA60AMT,DS100A,MITG,0.59,67.0,109.0,-0.39,42.0,26.0,26.0
158,119893045894,Australia,Victoria,EGIAUSTND,DS100A,MITG,0.61,319.0,68.0,3.69,42.0,197.0,197.0
159,119893045894,Australia,Victoria,LF1837,DS100A,MITG,0.58,50.0,108.0,-0.54,42.0,19.0,0.0
160,119893045894,Australia,Victoria,LF1937,DS100A,MITG,0.58,268.0,125.0,1.14,42.0,90.0,90.0
161,119893045894,Australia,Victoria,LF4418,DS100A,MITG,0.61,26.0,66.0,-0.61,42.0,16.0,16.0
162,119893045894,Australia,Victoria,OMS-PDBS2,DS100A,MITG,0.58,10.8,19.0,-0.43,42.0,24.0,24.0
