,Product,date,predict,Unnamed: 0,actual,material_x,y,material_y,lower,upper,base,cmb_pred
95,186-0106,2020-07-01,1708.6002451461834,3,2906.0,186-0106,,,,,186-0106,
96,186-0106,2020-08-01,1748.342116417312,4,2655.0,186-0106,,,,,186-0106,
97,186-0106,2020-09-01,1785.8665239410373,5,1876.8,186-0106,,,,,186-0106,
98,186-0106,2020-10-01,1821.211887501543,6,2060.0,186-0106,,,,,186-0106,
99,186-0106,2020-11-01,1855.9634362758823,7,2059.64,186-0106,,,,,186-0106,
100,186-0106,2020-12-01,1887.8393981767988,8,2549.2,186-0106,,,,,186-0106,
101,186-0106,2021-01-01,1919.6598123352858,9,1366.0,186-0106,,,,,186-0106,
102,186-0106,2021-02-01,1950.4102831353089,10,2308.0,186-0106,,,,,186-0106,
103,186-0106,2021-03-01,1976.5079387895635,11,2136.0,186-0106,,,,,186-0106,
104,186-0106,2021-04-01,2003.608602361504,12,1763.8,186-0106,,,,,186-0106,
105,186-0106,2021-05-01,2029.4339488643081,13,1862.0,186-0106,,,,,186-0106,
106,186-0106,2021-06-01,2054.9392733445698,14,2329.0,186-0106,,,,,186-0106,
107,186-0106,2021-07-01,2077.7889817915666,15,2285.0,186-0106,,,,,186-0106,
108,186-0106,2021-08-01,2100.5472175185437,16,1598.0,186-0106,,,,,186-0106,
109,186-0106,2021-09-01,2121.5549360517625,17,2243.0,186-0106,,,,,186-0106,
110,186-0106,2021-10-01,2141.8849862452003,18,2639.0,186-0106,,,,,186-0106,
111,186-0106,2021-11-01,2162.892704778418,19,2307.0,186-0106,,,,,186-0106,
112,186-0106,2021-12-01,2183.222754971856,20,2031.0,186-0106,,,,,186-0106,
113,186-0106,2022-01-01,2204.2304735050748,21,1246.0,186-0106,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2069.736145843446
114,186-0106,2022-02-01,2225.2381920382927,22,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2080.2400051100553
115,186-0106,2022-03-01,2244.212905552168,23,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2089.7273618669933
116,186-0106,2022-04-01,2265.2206240853866,24,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2100.231221133602
117,186-0106,2022-05-01,2285.550674278824,25,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2110.3962462303207
118,186-0106,2022-06-01,2306.5583928120427,26,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2120.9001054969303
119,186-0106,2022-07-01,2326.88844300548,27,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2131.065130593649
120,186-0106,2022-08-01,2347.8961615386984,28,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2141.568989860258
121,186-0106,2022-09-01,2368.9038800719172,29,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2152.0728491268674
122,186-0106,2022-10-01,2389.2339302653545,30,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2162.237874223586
123,186-0106,2022-11-01,2410.2416487985734,31,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2172.7417334901957
124,186-0106,2022-12-01,2430.5716989920106,32,,,1935.241818181818,186-0106,698.2938355776205,3172.1898007860154,186-0106,2182.9067585869143
